주차장코드,주차장명,주소2,주차장 종류명,"토요일 유,무료 구분명","공휴일 유,무료 구분명"
1042405,언북초교 공영주차장(구),서울특별시 강남구 청담동 27-0,노외 주차장,무료,무료
1042406,삼성1문화센터 공영주차장(구),서울특별시 강남구 삼성동 161-2,노외 주차장,무료,무료
1042410,논현초교 공영주차장(구),서울특별시 강남구 논현동 168-0,노외 주차장,무료,무료
1042421,언주초 공영주차장(구),서울특별시 강남구 도곡동 922-0,노외 주차장,무료,무료
1051018,연광초교지하공동주차장(구),서울특별시 은평구 불광동 400-6,노외 주차장,무료,무료
1051043,구파발역 공영주차장(시),서울특별시 은평구 진관동 66-30,노외 주차장,무료,무료
1052723,살곶이(평면) 공영주차장(구),서울특별시 성동구 사근동 104-0,노외 주차장,무료,무료
1052737,응봉역공영주차장(구),서울특별시 성동구 응봉동 3-11,노외 주차장,유료,유료
1052741,마장축산물시장(건물) 공영주차장(구),서울특별시 성동구 마장동 525-1,노외 주차장,무료,무료
1053712,볏골공원 지하공영주차장(구),서울특별시 강서구 화곡동 98-99,노외 주차장,유료,유료
1056832,한누리(구),서울특별시 동작구 사당동 1046-1,노외 주차장,무료,무료
1056834,동작주차공원(구),서울특별시 동작구 동작동 326-0,노외 주차장,무료,무료
1059009,신사동 제1공영주차장(구),서울특별시 관악구 신림동 511-1,노외 주차장,무료,무료
1079122,길음역환승주차장(구),서울특별시 성북구 하월곡동 104-112,노외 주차장,무료,무료
1140909,잠원동방음언덕형공영주차장(구),서울특별시 서초구 잠원동 10-33,노외 주차장,무료,무료
1140910,반포2동 공영주차장(구),서울특별시 서초구 반포동 5-1,노외 주차장,무료,무료
1140911,반포서래공영주차장[서래마을 3호점](구),서울특별시 서초구 반포동 95-13,노외 주차장,무료,무료
1140956,청계산 청룡주차장(구),서울특별시 서초구 신원동 224-3,노외 주차장,무료,무료
1163833,봉천복개3 공영주차장(시),서울특별시 관악구 봉천동 1467-3,노상 주차장,무료,유료
1167546,독산동 금천교 공영주차장(시),서울특별시 금천구 독산동 1081-4,노상 주차장,무료,유료
1189778,신답고가 주변(구),서울특별시 동대문구 답십리동 530-6,노상 주차장,무료,유료
1193467,동대문소방서노상(구),서울특별시 동대문구 장안동 434-0,노상 주차장,무료,유료
119824,여의도공원앞1 노상주차장(구),서울특별시 영등포구 여의도동 2-11,노상 주차장,무료,유료
1208601,청계2(북2) 공영주차장(시),서울특별시 종로구 관수동 91-4,노상 주차장,무료,유료
1210657,청계3(북1) 공영주차장(시),서울특별시 종로구 예지동 140-1,노상 주차장,무료,유료
1234305,가마산고가밑 공영주차장(시),서울특별시 구로구 구로동 414-13,노상 주차장,무료,유료
1235522,청계3(남) 공영주차장(시),서울특별시 중구 주교동 51-3,노상 주차장,무료,유료
1235665,청계6(청평화) 공영주차장(시),서울특별시 중구 신당동 217-91 0,노상 주차장,무료,유료
1236307,청계1(남) 공영주차장(시),서울특별시 중구 수표동 65-4,노상 주차장,무료,유료
1236552,소파로케이블카앞 관광버스전용 주차장(시),서울특별시 중구 회현동1가 1-15,노상 주차장,무료,무료
1236612,남대문 화물 공영주차장(시),서울특별시 중구 남대문로4가 24-1,노상 주차장,무료,무료
1236949,한진면세점 앞(구),서울특별시 중구 남대문로5가 533-0,노상 주차장,무료,유료
1237608,해운센터 앞(구),서울특별시 중구 소공동 59-0,노상 주차장,무료,유료
1247636,신설동 공영주차장(시),서울특별시 동대문구 신설동 114-29,노외 주차장,무료,무료
1247641,천호2동노외주차장(구),서울특별시 강동구 천호동 457-7,노외 주차장,무료,무료
1247659,구의3동 공영주차장(구),서울특별시 광진구 구의동 219-15,노외 주차장,무료,무료
1247661,광진광장 공영주차장(구),서울특별시 광진구 군자동 374-9,노외 주차장,무료,무료
1247675,암사1동 주차장(구),서울특별시 강동구 암사동 59-2,노외 주차장,무료,무료
1247677,양화진 공영주차장(구),서울특별시 마포구 합정동 139-21,노외 주차장,무료,무료
1247678,망원1-2 공영주차장(구),서울특별시 마포구 망원동 403-2,노외 주차장,무료,무료
1247680,휘경유수지 공영주차장(구),서울특별시 동대문구 휘경동 348-0,노외 주차장,무료,무료
